Monetary,Frequency,Recency,monetary_score,frequency_score,recency_score,rfm_score,cust_no
6.02,1.0,80,1,2,1,4,0xb2d94328
250888.02,2.0,30,3,3,2,8,0xb2d9c393
380004.22,3.0,1,4,4,4,12,0xb2da41eb
1360263.5,5.0,3,4,4,4,12,0xb2d10b07
377000.0,9.0,0,4,4,4,12,0xb2d40fda
762.53,2.0,3,1,3,4,8,0xb2d54b94
10126.82,1.0,4,2,2,4,8,0xb2d95413
70075.83,4.0,4,3,4,4,11,0xb2d6aa09
626524.71,4.0,4,4,4,4,12,0xb2d229dd
10365.36,1.0,5,2,2,3,7,0xb2d6c28c
507466.27,4.0,10,4,4,3,11,0xb2d0a1e8
2206.51,1.0,92,1,2,1,4,0xb2d2a36f
87769.07,3.0,0,3,4,4,11,0xb2d27a33
635523.74,2.0,18,4,3,2,9,0xb2d3accc
250256.52,4.0,7,3,4,3,10,0xb2d41034
687000.07,9.0,0,4,4,4,12,0xb2d65a3b
393477.46,4.0,0,4,4,4,12,0xb2d0eda4
3657.52,1.0,4,2,2,4,8,0xb2d23a1b
7.6,1.0,3,1,2,4,7,0xb2d35cf1
198013.24,5.0,19,3,4,2,9,0xb2d13124
470027.28,3.0,4,4,4,4,12,0xb2d913cc
2.92,1.0,20,1,2,2,5,0xb2d5c225
240034.1,11.0,1,3,4,4,11,0xb2d687b5
379069.23,2.0,76,4,3,1,8,0xb2d62231
45799.07,1.0,6,2,2,3,7,0xb2d51f24
19210.4,1.0,0,2,2,4,8,0xb2d8e7da
343030.14,3.0,15,4,4,3,11,0xb2d5ce0a
858810.5,2.0,76,4,3,1,8,0xb2d1c033
871537.59,3.0,6,4,4,3,11,0xb2d38fd1
15.59,1.0,21,1,2,2,5,0xb2d39de9
1113468.19,13.0,0,4,4,4,12,0x3b9b1810
2848.1,1.0,92,1,2,1,4,0xb2d18d87
21487.79,2.0,0,2,3,4,9,0xb2d064a1
2350.81,1.0,2,1,2,4,7,0xb2d43997
471258.71,5.0,76,4,4,1,9,0xb2d0f793
1162.23,1.0,92,1,2,1,4,0xb2d488da
530060.3,3.0,4,4,4,4,12,0xb2d28425
10820.93,1.0,19,2,2,2,6,0xb2d6b084
51128.62,2.0,32,2,3,2,7,0xb2d435a1
19366.33,1.0,169,2,2,1,5,0xb2d5c5cf
4704.69,1.0,113,2,2,1,5,0xb2d0e8ed
30340.96,2.0,62,2,3,2,7,0xb2d36515
110701.43,1.0,1,3,2,4,9,0xb2d30d9c
234.19,2.0,18,1,3,2,6,0xb2d4fab2
280009.22,6.0,10,3,4,3,10,0xb2d6f587
1186.07,1.0,184,1,2,1,4,0xb2d14fa3
138027.67,2.0,93,3,3,1,7,0xb2d4c1a7
500001.0,2.0,2,4,3,4,11,0xb2d92b06
1770012.24,5.0,0,4,4,4,12,0xb2d0940d
197121.34,2.0,0,3,3,4,10,0xb2d2dfea
102204.73,3.0,32,3,4,2,9,0xb2d621b3
379042.52,4.0,80,4,4,1,9,0xb2d5a79d
1340028.31,6.0,0,4,4,4,12,0xb2d14825
100048.58,1.0,1,3,2,4,9,0xb2d85706
100000.0,2.0,0,3,3,4,10,0xb2d97c7b
5631.47,1.0,50,2,2,2,6,0xb2d95283
5051.04,1.0,92,2,2,1,5,0xb2d281c3
200009.5,3.0,76,3,4,1,8,0xb2d991eb
404844.05,1.0,0,4,2,4,10,0xb2d4f97f
557000.23,4.0,0,4,4,4,12,0xb2d1be58
30001.27,2.0,49,2,3,2,7,0xb2d5fe4c
10484.95,1.0,5,2,2,3,7,0xb2d1bf9c
109105.22,2.0,32,3,3,2,8,0xb2d2b6ba
263837.19,3.0,3,3,4,4,11,0xb2d0d6cf
6030.96,1.0,9,2,2,3,7,0xb2d60fb8
100001.06,2.0,42,3,3,2,8,0xb2d3b097
302167.73,2.0,76,4,3,1,8,0xb2d99d9e
1210.16,1.0,55,1,2,2,5,0xb2d6d5bf
132.17,1.0,4,1,2,4,7,0xb2d64db7
10403.4,1.0,92,2,2,1,5,0xb2d28c67
217927.26,3.0,67,3,4,1,8,0xb2d4643e
204069.92,2.0,0,3,3,4,10,0xb2d40e29
336669.67,3.0,29,4,4,2,10,0xb2d63761
200000.0,2.0,12,3,3,3,9,0xb2d81200
499345.05,7.0,0,4,4,4,12,0xb2d59567
55275.82,1.0,31,3,2,2,7,0xb2d2a968
1003925.27,50.0,18,4,4,2,10,0xb2d2cee3
364.26,1.0,20,1,2,2,5,0xb2d5c85b
95.19,1.0,24,1,2,2,5,0xb2d1e782
200036.58,5.0,89,3,4,1,8,0xb2d746b2
90569.73,1.0,0,3,2,4,9,0xb2d3762f
327785.01,3.0,3,4,4,4,12,0xb2d138c1
10203.34,1.0,281,2,2,1,5,0xb2d5e3cb
1450000.0,12.0,8,4,4,3,11,0xb2d069fe
669.73,1.0,46,1,2,2,5,0xb2d2076d
439334.7,3.0,33,4,4,2,10,0xb2d072af
217561.4,5.0,62,3,4,2,9,0xb2d1390b
2125.67,1.0,92,1,2,1,4,0xb2d2be33
1507.34,1.0,9,1,2,3,6,0xb2d38643
20711.06,2.0,0,2,3,4,9,0xb2d62527
19086.87,1.0,1,2,2,4,8,0xb2d275a3
120002.86,3.0,39,3,4,2,9,0xb2d9ec82
320066.63,3.0,12,4,4,3,11,0xb2d7869d
500078.38,3.0,171,4,4,1,9,0xb2d1fec1
23860.32,1.0,14,2,2,3,7,0xb2d69bd9
104825.76,2.0,182,3,3,1,7,0xb2d17bbb
100000.0,1.0,5,3,2,3,8,0xb2d922ff
250888.02,2.0,32,3,3,2,8,0xb2da06c3
19245.85,4.0,0,2,4,4,10,0x3b9b484e
348.57,1.0,24,1,2,2,5,0xb2d25d1b
26.78,1.0,59,1,2,2,5,0xb2d38acd
170000.0,5.0,1,3,4,4,11,0xb2d8e479
7506.88,1.0,13,2,2,3,7,0xb2d30948
8100.94,2.0,0,2,3,4,9,0xb2d54e24
40119.61,1.0,92,2,2,1,5,0xb2d613f5
12500.48,1.0,10,2,2,3,7,0xb2d6c986
1415.95,1.0,193,1,2,1,4,0xb2d4d411
2025.06,1.0,184,1,2,1,4,0xb2d23302
10082.21,1.0,184,2,2,1,5,0xb2d38b56
150721.0,2.0,28,3,3,2,8,0xb2d90773
827297.24,10.0,1,4,4,4,12,0x3b9af0f2
279.9,1.0,2,1,2,4,7,0xb2d18724
65473.51,1.0,116,3,2,1,6,0xb2d3297d
500005.29,2.0,158,4,3,1,8,0xb2d8f1dd
2046.64,1.0,10,1,2,3,6,0xb2d3af05
14417.41,1.0,12,2,2,3,7,0xb2d76955
968.52,1.0,10,1,2,3,6,0xb2d51c7f
120452.19,2.0,1,3,3,4,10,0xb2d7becf
841503.15,3.0,20,4,4,2,10,0xb2d40b32
1224.62,1.0,17,1,2,2,5,0xb2d5c89b
921171.05,1.0,4,4,2,4,10,0xb2d58134
1429.14,1.0,2,1,2,4,7,0xb2d4b2c0
2077.33,1.0,7,1,2,3,6,0xb2d29760
1834577.48,28.0,4,4,4,4,12,0x3b9b386a
290010.79,7.0,21,3,4,2,9,0xb2d13794
2381.82,1.0,8,1,2,3,6,0xb2d929fc
1326.94,1.0,184,1,2,1,4,0xb2d241d5
440888.68,3.0,15,4,4,3,11,0xb2d62726
445905.4,1.0,0,4,2,4,10,0xb2d269df
1524272.06,7.0,11,4,4,3,11,0xb2d5b0f2
180065.96,3.0,56,3,4,2,9,0xb2d5f18d
450000.78,3.0,3,4,4,4,12,0xb2d74348
94469.08,3.0,38,3,4,2,9,0xb2d2be04
128371.6,2.0,21,3,3,2,8,0xb2d2d7de
11823000.0,8.0,0,4,4,4,12,0xb2d3e260
584259.05,3.0,48,4,4,2,10,0xb2d63fe4
661.17,1.0,11,1,2,3,6,0xb2d9f0e6
300018.27,2.0,7,3,3,3,9,0xb2d6d293
2018256.97,8.0,8,4,4,3,11,0xb2d3cbc5
120092.51,2.0,74,3,3,1,7,0xb2d8d7de
66.39,1.0,27,1,2,2,5,0xb2d683a1
40050.17,1.0,127,2,2,1,5,0xb2d581cb
2769.23,1.0,6,1,2,3,6,0xb2d353f6
119641.85,3.0,8,3,4,3,10,0xb2d12a43
38.17,1.0,59,1,2,2,5,0xb2d2ef2c
58.83,1.0,92,1,2,1,4,0xb2d0bf22
10014.23,1.0,174,2,2,1,5,0xb2d50311
1335.27,1.0,40,1,2,2,5,0xb2d3bb7e
250218.61,4.0,0,3,4,4,11,0xb2d0a5e2
200072.58,2.0,54,3,3,2,8,0xb2d63895
4.32,1.0,20,1,2,2,5,0xb2d2b8cd
152089.03,4.0,4,3,4,4,11,0xb2d64b7b
160000.0,2.0,6,3,3,3,9,0xb2d69a75
100003.75,2.0,92,3,3,1,7,0xb2d17ed3
25000.79,2.0,60,2,3,2,7,0xb2d9ba9d
1005.11,1.0,178,1,2,1,4,0xb2d78d93
12264.96,1.0,92,2,2,1,5,0xb2d3b7da
7381.09,1.0,2,2,2,4,8,0xb2d30149
502143.98,2.0,8,4,3,3,10,0xb2d98358
5001.11,1.0,30,2,2,2,6,0xb2d93e58
50939.4,2.0,143,2,3,1,6,0xb2d61496
811150.3,4.0,22,4,4,2,10,0xb2d6abdc
18.91,1.0,10,1,2,3,6,0xb2d29a9d
1653626.45,6.0,13,4,4,3,11,0xb2d645f6
36.74,1.0,35,1,2,2,5,0xb2d9a64c
1031.73,1.0,305,1,2,1,4,0xb2d264a2
95714.85,1.0,0,3,2,4,9,0xb2d0c410
37598.4,1.0,105,2,2,1,5,0xb2d6a061
173641.73,2.0,0,3,3,4,10,0xb2d2431f
17.46,1.0,19,1,2,2,5,0xb2d62de3
17401.4,1.0,17,2,2,2,6,0xb2d2674d
500000.31,3.0,6,4,4,3,11,0xb2d973be
133640.53,4.0,1,3,4,4,11,0xb2d31921
706839.24,7.0,0,4,4,4,12,0xb2d620f9
318.48,1.0,88,1,2,1,4,0xb2d593cc
2022.99,2.0,92,1,3,1,5,0xb2d06af0
500000.5,2.0,5,4,3,3,10,0xb2d957a8
10005.28,1.0,48,2,2,2,6,0xb2d8f11b
108501.87,2.0,139,3,3,1,7,0xb2d3304c
285008.8,10.0,24,3,4,2,9,0x3b9af1f2
162096.78,2.0,136,3,3,1,7,0xb2d367e1
101530.42,2.0,101,3,3,1,7,0xb2d58dd8
429826.91,7.0,0,4,4,4,12,0xb2d59a77
20488.31,2.0,24,2,3,2,7,0xb2d5b5bb
276951.74,3.0,11,3,4,3,10,0xb2d93f6c
205.97,1.0,26,1,2,2,5,0xb2d232ba
4919.64,1.0,208,2,2,1,5,0xb2d2fd1a
1020000.38,4.0,8,4,4,3,11,0xb2d8ef4c
2008.78,1.0,92,1,2,1,4,0xb2d32d74
508850.74,1.0,188,4,2,1,7,0xb2d5e9e9
170395.41,2.0,0,3,3,4,10,0xb2d38d95
106.79,2.0,0,1,3,4,8,0xb2d38030
53108.03,1.0,9,3,2,3,8,0xb2d6c9f2
71373.13,2.0,95,3,3,1,7,0xb2d41146
233914.55,2.0,0,3,3,4,10,0xb2d603f5
2940.47,1.0,88,2,2,1,5,0xb2d5ad6b
3.47,1.0,12,1,2,3,6,0xb2d26666
202843.27,2.0,17,3,3,2,8,0xb2d6e51d
1.71,1.0,17,1,2,2,5,0xb2d6b47e
470037.98,5.0,16,4,4,2,10,0xb2d0e3d4
902.17,1.0,0,1,2,4,7,0xb2d20328
1700326.22,3.0,27,4,4,2,10,0xb2d63f35
317612.42,2.0,49,4,3,2,9,0xb2d3c0c8
0.98,1.0,21,1,2,2,5,0xb2d62a00
1228687.15,4.0,11,4,4,3,11,0xb2d6381d
51934.77,2.0,136,2,3,1,6,0xb2d51626
194.93,1.0,2,1,2,4,7,0xb2d37878
103060.23,2.0,7,3,3,3,9,0xb2d5e72c
54.35,1.0,0,1,2,4,7,0xb2d086b2
16000.04,1.0,5,2,2,3,7,0xb2da3024
268272.44,4.0,1,3,4,4,11,0xb2d20136
120391.06,4.0,12,3,4,3,10,0xb2d57e2f
1800038.03,3.0,95,4,4,1,9,0xb2d922af
200009.01,3.0,63,3,4,2,9,0xb2d1b16e
183658.73,1.0,0,3,2,4,9,0xb2d9b6e3
299.14,1.0,13,1,2,3,6,0xb2d997c8
14766.6,1.0,1,2,2,4,8,0xb2d967e7
20134.07,2.0,0,2,3,4,9,0xb2d6a7be
329.74,1.0,11,1,2,3,6,0xb2d88c67
4838.41,1.0,9,2,2,3,7,0xb2d34163
353123.57,6.0,7,4,4,3,11,0xb2d69c3b
63.41,2.0,76,1,3,1,5,0xb2d5eec0
103000.71,2.0,214,3,3,1,7,0xb2d41dfe
250545.13,4.0,0,3,4,4,11,0xb2d2d1b6
3.0,1.0,0,1,2,4,7,0xb2da550b
1613.93,1.0,10,1,2,3,6,0xb2d1cae6
21.11,1.0,59,1,2,2,5,0xb2d8eefa
26131.95,1.0,19,2,2,2,6,0xb2d6a119
505624.92,2.0,41,4,3,2,9,0xb2d6e4db
2460001.48,9.0,2,4,4,4,12,0xb2d242f3
5.65,1.0,9,1,2,3,6,0xb2d68f2c
684992.76,22.0,7,4,4,3,11,0xb2d2bc31
693043.79,2.0,0,4,3,4,11,0xb2d2b84b
29800.55,1.0,259,2,2,1,5,0xb2d684c6
196491.77,1.0,16,3,2,2,7,0xb2d280e8
200000.0,2.0,184,3,3,1,7,0xb2d68137
5229.07,1.0,2,2,2,4,8,0xb2d226f9
1498935.96,4.0,7,4,4,3,11,0xb2d329ad
7721.26,1.0,10,2,2,3,7,0xb2da2251
2942.82,1.0,5,2,2,3,7,0xb2d1e693
110102.19,1.0,5,3,2,3,8,0xb2d361c2
630024.58,4.0,3,4,4,4,12,0xb2d2ba1b
1608.65,1.0,93,1,2,1,4,0xb2d63008
130036.62,3.0,0,3,4,4,11,0xb2d58b41
100090.12,2.0,104,3,3,1,7,0xb2d2793c
4.75,1.0,1,1,2,4,7,0xb2d94793
216007.63,3.0,81,3,4,1,8,0xb2d4ac4b
32007.04,1.0,25,2,2,2,6,0xb2d81615
270934.08,3.0,19,3,4,2,9,0xb2d410a8
944.33,1.0,20,1,2,2,5,0xb2d35894
81214.47,1.0,3,3,2,4,9,0xb2d3ec0f
242023.51,1.0,9,3,2,3,8,0xb2d4368b
200098.43,2.0,11,3,3,3,9,0xb2d9e2f7
1844.2,1.0,0,1,2,4,7,0xb2d15bfe
1143.01,1.0,3,1,2,4,7,0xb2d2b5c6
691549.93,7.0,9,4,4,3,11,0xb2d1b32c
0.0,1.0,1,1,2,4,7,0xb2d33d9f
11.9,1.0,167,1,2,1,4,0xb2d5dbe9
319013.5,2.0,129,4,3,1,8,0xb2d0e656
290068.55,2.0,132,3,3,1,7,0xb2d16a5b
36.02,1.0,17,1,2,2,5,0xb2d30cb6
10000.32,2.0,73,2,3,1,6,0xb2d8dfdf
550037.33,6.0,4,4,4,4,12,0xb2d657bc
6592.65,1.0,14,2,2,3,7,0xb2d920cb
152.13,1.0,2,1,2,4,7,0xb2d1ec3c
21371.76,2.0,42,2,3,2,7,0xb2d58575
1537876.78,6.0,1,4,4,4,12,0xb2d08ba1
100033.41,2.0,201,3,3,1,7,0xb2d1fc4b
51024.49,1.0,8,2,2,3,7,0xb2d5acc2
18255.54,1.0,230,2,2,1,5,0xb2d5ec50
5261.4,1.0,16,2,2,2,6,0xb2d90a6f
400735.79,3.0,53,4,4,2,10,0xb2d65d53
28220.69,1.0,1,2,2,4,8,0xb2d6cf39
860247.39,6.0,1,4,4,4,12,0xb2d63c05
306641.75,13.0,0,4,4,4,12,0xb2d210dc
0.0,1.0,9,1,2,3,6,0xb2d982d5
30000.63,2.0,92,2,3,1,6,0xb2d13ebd
330070.42,2.0,5,4,3,3,10,0xb2d9b9ee
100002.12,2.0,192,3,3,1,7,0xb2d6a2fa
201421.15,2.0,17,3,3,2,8,0xb2d998fe
51002.07,2.0,193,2,3,1,6,0xb2d743bd
561068.31,4.0,0,4,4,4,12,0xb2d3d3f3
160056.13,3.0,80,3,4,1,8,0xb2d5a583
13822.7,1.0,92,2,2,1,5,0xb2d26c03
150001.58,2.0,235,3,3,1,7,0xb2d6eb01
6631.77,2.0,184,2,3,1,6,0xb2d41016
56059.78,4.0,154,3,4,1,8,0xb2d071ce
728581.02,1.0,0,4,2,4,10,0xb2d90366
2151.12,1.0,0,1,2,4,7,0xb2d2f861
590008.09,4.0,11,4,4,3,11,0xb2d43050
180064.09,4.0,18,3,4,2,9,0xb2d5f9a5
710651.1,5.0,98,4,4,1,9,0xb2d1f3d7
401322.5,4.0,1,4,4,4,12,0xb2d94c28
628262.29,5.0,1,4,4,4,12,0xb2d656d0
2600959.83,4.0,0,4,4,4,12,0xb2d099fe
50009.73,2.0,6,2,3,3,8,0xb2d699c8
50011.43,2.0,175,2,3,1,6,0xb2d0bea7
10005.06,2.0,139,2,3,1,6,0xb2d91588
701281.64,4.0,42,4,4,2,10,0xb2d0638d
4533.8,1.0,9,2,2,3,7,0xb2d372fd
50001.58,2.0,213,2,3,1,6,0xb2d6837a
2651.61,1.0,10,1,2,3,6,0xb2d3c7ee
1017284.84,14.0,3,4,4,4,12,0xb2d3ad10
22634.47,1.0,19,2,2,2,6,0xb2d9ded5
523288.83,8.0,11,4,4,3,11,0xb2d2410a
3.59,1.0,0,1,2,4,7,0xb2d28cf7
6.07,1.0,6,1,2,3,6,0xb2d6f5f4
110003.17,3.0,55,3,4,2,9,0xb2d6a0ca
41035.6,2.0,7,2,3,3,8,0xb2d5818b
0.0,1.0,7,1,2,3,6,0xb2d651be
15166.09,1.0,3,2,2,4,8,0xb2d2f413
200028.94,2.0,8,3,3,3,9,0xb2d26df7
101.19,1.0,37,1,2,2,5,0xb2d2cfbd
2212.41,1.0,10,1,2,3,6,0xb2d70157
153467.21,1.0,67,3,2,1,6,0xb2d1e14b
1480711.65,1.0,2,4,2,4,10,0xb2d4dbab
200000.0,2.0,0,3,3,4,10,0xb2da6b6e
20006.03,1.0,1,2,2,4,8,0xb2d6d5b5
58981.0,2.0,192,3,3,1,7,0xb2d0ce74
270310.91,1.0,8,3,2,3,8,0xb2d43c26
203136.31,2.0,11,3,3,3,9,0xb2d6e045
100009.58,3.0,92,3,4,1,8,0x3b9acc87
115037.25,2.0,107,3,3,1,7,0xb2d57a28
3880.59,1.0,147,2,2,1,5,0xb2d5dfc8
117.18,1.0,1,1,2,4,7,0xb2d42372
142388.12,1.0,0,3,2,4,9,0xb2d23b6b
200722.25,2.0,0,3,3,4,10,0xb2d6c6a5
4965.98,1.0,28,2,2,2,6,0xb2d20858
440453.97,5.0,95,4,4,1,9,0xb2d60625
703067.61,9.0,0,4,4,4,12,0xb2d9316f
2493.87,1.0,92,1,2,1,4,0xb2d272c9
873076.49,6.0,3,4,4,4,12,0xb2d57579
50046.07,3.0,47,2,4,2,8,0x3b9b49f9
152832.67,4.0,21,3,4,2,9,0xb2d6f016
1.95,1.0,11,1,2,3,6,0xb2d9649a
10000.11,2.0,45,2,3,2,7,0xb2d91b56
13820.55,1.0,21,2,2,2,6,0xb2d305d8
81504.14,9.0,1,3,4,4,11,0xb2d68022
138301.43,1.0,184,3,2,1,6,0xb2d0ec34
8838.83,1.0,11,2,2,3,7,0xb2d8b1be
0.0,2.0,6,1,3,3,7,0xb2da4bef
6458.35,1.0,9,2,2,3,7,0xb2d4cf85
420155.38,2.0,20,4,3,2,9,0xb2d62c2a
5719.2,1.0,0,2,2,4,8,0xb2d3e91e
102000.0,4.0,0,3,4,4,11,0xb2d0d3c7
1800404.83,13.0,4,4,4,4,12,0xb2d65007
160014.15,3.0,48,3,4,2,9,0xb2d8edfd
80009.81,3.0,22,3,4,2,9,0xb2d96bd8
300000.0,2.0,5,3,3,3,9,0xb2da5ce9
225038.7,2.0,26,3,3,2,8,0xb2d196f9
254442.59,2.0,153,3,3,1,7,0xb2d8fdbc
421.06,1.0,9,1,2,3,6,0xb2d561a6
320048.66,4.0,18,4,4,2,10,0xb2d52f28
250212.2,4.0,4,3,4,4,11,0xb2d1c496
257.12,1.0,56,1,2,2,5,0xb2d1af95
5303.66,1.0,92,2,2,1,5,0xb2d3a2ca
2950240.57,7.0,14,4,4,3,11,0xb2d1c9ef
380010.38,2.0,29,4,3,2,9,0xb2d747bc
124087.11,4.0,63,3,4,2,9,0xb2d5a54e
287.96,1.0,8,1,2,3,6,0xb2d278b8
799496.56,8.0,0,4,4,4,12,0xb2d41547
5272.4,1.0,6,2,2,3,7,0xb2d6c275
692.68,1.0,8,1,2,3,6,0xb2d97b0a
343198.93,3.0,1,4,4,4,12,0xb2d0c81c
1000474.57,2.0,231,4,3,1,8,0xb2d4a382
5133.81,1.0,184,2,2,1,5,0xb2d25894
11.98,1.0,47,1,2,2,5,0xb2d85afe
51058.6,2.0,4,2,3,4,9,0xb2d6ab1f
10011753.7,5.0,6,4,4,3,11,0xb2d6e016
470039.24,2.0,13,4,3,3,10,0xb2d99cfb
2252187.81,5.0,27,4,4,2,10,0xb2d9788f
10123.26,1.0,27,2,2,2,6,0xb2d5cf11
5644.59,1.0,2,2,2,4,8,0xb2d2e771
150006.43,1.0,0,3,2,4,9,0xb2d635d8
200042.7,2.0,18,3,3,2,8,0xb2d0cef4
200000.0,2.0,21,3,3,2,8,0xb2da25d4
44007.36,2.0,12,2,3,3,8,0xb2d6d093
55003.48,2.0,231,3,3,1,7,0xb2d56d9c
724.47,1.0,5,1,2,3,6,0xb2d207d4
750013.59,9.0,18,4,4,2,10,0xb2d3627b
455190.96,11.0,0,4,4,4,12,0x3b9b1803
522.08,1.0,19,1,2,2,5,0xb2d6c02e
648.7,1.0,1,1,2,4,7,0xb2d654a1
376.9,1.0,0,1,2,4,7,0xb2d1fdf6
892027.26,6.0,6,4,4,3,11,0xb2d1ea14
23051.78,1.0,28,2,2,2,6,0xb2d93b67
5225.13,1.0,184,2,2,1,5,0xb2d2331e
10000.53,2.0,10,2,3,3,8,0xb2da0617
296385.66,1.0,5,3,2,3,8,0xb2d0e3bc
428.2,1.0,7,1,2,3,6,0xb2d29fd1
208632.71,1.0,67,3,2,1,6,0xb2d591f6
244115.62,2.0,39,3,3,2,8,0xb2d6f495
20000.74,2.0,11,2,3,3,8,0xb2da0e03
4885.87,1.0,3,2,2,4,8,0xb2d9da48
157984.26,2.0,1,3,3,4,10,0xb2d3823d
220045.37,4.0,8,3,4,3,10,0xb2d24ccb
260020.16,4.0,22,3,4,2,9,0xb2d1afab
1188.64,1.0,184,1,2,1,4,0xb2d21790
80000.0,2.0,3,3,3,4,10,0xb2d9749d
7200.01,2.0,11,2,3,3,8,0xb2da4653
6720.73,1.0,0,2,2,4,8,0xb2d0c9af
100008.34,2.0,3,3,3,4,10,0xb2d92e39
220016.77,4.0,7,3,4,3,10,0xb2d58968
640.42,2.0,0,1,3,4,8,0x3b9af1e7
2006.13,1.0,3,1,2,4,7,0xb2d19d4f
860009.08,4.0,27,4,4,2,10,0xb2d8d835
600.0,1.0,0,1,2,4,7,0xb2d92ba0
2189.53,1.0,92,1,2,1,4,0xb2d0bee0
593103.44,5.0,60,4,4,2,10,0xb2d43644
70042.43,5.0,80,3,4,1,8,0xb2d5a4a8
1505427.0,8.0,4,4,4,4,12,0xb2d07499
2526.96,1.0,258,1,2,1,4,0xb2d5355c
208082.99,1.0,12,3,2,3,8,0xb2d6448a
500012.12,2.0,20,4,3,2,9,0xb2d98dec
216049.88,3.0,53,3,4,2,9,0xb2d479c2
15269.62,1.0,3,2,2,4,8,0xb2d30d0f
200003.44,1.0,1,3,2,4,9,0xb2d95cab
208.98,1.0,2,1,2,4,7,0xb2d22f11
147694.86,6.0,0,3,4,4,11,0xb2d0f4fb
519573.88,3.0,24,4,4,2,10,0xb2d062f1
233311.49,4.0,87,3,4,1,8,0xb2d2e7ea
3091.82,2.0,66,2,3,2,7,0xb2d45996
1384.01,1.0,0,1,2,4,7,0xb2d4cdc6
2874.75,1.0,1,1,2,4,7,0xb2d940fd
5061.25,1.0,184,2,2,1,5,0xb2d2a613
307.67,1.0,15,1,2,3,6,0xb2d6d509
1005301.77,13.0,24,4,4,2,10,0xb2d068b7
500000.0,2.0,18,4,3,2,9,0xb2da32da
300059.76,2.0,18,3,3,2,8,0xb2d1a50e
289812.82,2.0,63,3,3,2,8,0xb2d1e99d
496013.09,3.0,108,4,4,1,9,0xb2d1d281
731905.94,7.0,31,4,4,2,10,0xb2d51c62
29400.03,1.0,5,2,2,3,7,0xb2d63901
12293.81,1.0,0,2,2,4,8,0xb2d6159d
109026.33,3.0,7,3,4,3,10,0xb2d4e2ae
183477.94,1.0,184,3,2,1,6,0xb2d3e6d0
150024.84,2.0,59,3,3,2,8,0xb2d22e4c
273000.0,6.0,6,3,4,3,10,0xb2d47270
16143.36,1.0,4,2,2,4,8,0xb2d5b8bd
215011.2,4.0,55,3,4,2,9,0xb2d9b2b5
16816.5,1.0,1,2,2,4,8,0xb2d3a111
1984.92,1.0,0,1,2,4,7,0xb2d6b8e5
500023.69,3.0,0,4,4,4,12,0xb2d58f4e
